Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Has Garage,Has Fireplace,Total Bath,Overall Score,Garage Score,Kitchen Score,House Age,Years Since Remodel,TotalSF,Neighborhood Rank,Log_SalePrice,Price Tier,Is High Price
2211,909275030,90,RH,82.0,6270,Pave,None,Reg,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,5,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,284.0,Unf,0.0,717.0,1001.0,GasA,TA,N,FuseA,1001,1001,0,2002,0.0,0.0,2,0,4,2,TA,8,Typ,0,None,2Types,1949.0,Unf,3.0,871.0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,8,2007,WD ,Normal,145000,1,0,2.0,30,9,6,58,57,3003.0,17,11.884489021402711,Medium,0
783,905325020,20,RL,65.0,25095,Pave,None,IR1,Low,AllPub,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,5,8,1968,2003,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Gd,GLQ,1324.0,Unf,0.0,113.0,1437.0,GasA,Ex,Y,SBrkr,1473,0,0,1473,2.0,0.0,1,0,1,1,Ex,5,Typ,2,Gd,Attchd,1968.0,Unf,1.0,452.0,TA,TA,Y,0,48,0,0,60,0,None,None,None,0,6,2009,WD ,Partial,143000,1,1,3.0,40,9,5,41,6,2910.0,18,11.870599909242044,Medium,0
2311,527105060,60,RL,60.0,8238,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,700.0,Unf,0.0,113.0,813.0,GasA,Ex,Y,SBrkr,813,712,0,1525,1.0,0.0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,400.0,TA,TA,Y,421,72,0,0,0,0,None,None,None,0,5,2006,WD ,Normal,183500,1,1,3.5,30,9,3,9,8,2338.0,14,12.119969946476761,Medium,0
300,909455040,120,RM,35.0,3907,Pave,None,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,5,1989,1989,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,76.0,Unf,0.0,1115.0,1191.0,GasA,Gd,Y,SBrkr,1191,0,0,1191,0.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1989.0,Unf,2.0,531.0,TA,TA,Y,112,81,0,0,0,0,None,None,None,0,3,2010,WD ,Normal,162500,1,1,2.0,40,9,4,21,21,2382.0,6,11.998433280751929,Medium,0
2424,528228415,120,RM,43.0,3072,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1375.0,1375.0,GasA,Ex,Y,SBrkr,1414,0,0,1414,0.0,0.0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2.0,398.0,TA,TA,Y,144,20,0,0,0,0,None,None,None,0,5,2006,WD ,Normal,178740,1,1,2.0,35,9,4,2,2,2789.0,16,12.093687514935382,Medium,0
1996,902304040,70,RM,90.0,9900,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,4,1880,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,Mn,Unf,0.0,Unf,0.0,1008.0,1008.0,GasW,TA,Y,SBrkr,1178,1032,0,2210,0.0,0.0,2,0,5,1,Fa,8,Typ,0,None,Detchd,1930.0,Unf,1.0,205.0,Fa,TA,N,0,48,0,0,0,0,None,None,None,0,5,2007,WD ,Normal,117500,1,0,2.0,24,6,2,127,57,3218.0,3,11.67419361256635,Low,0
2178,908152260,20,RL,74.0,8536,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1125.0,1125.0,GasA,Gd,Y,SBrkr,1125,0,0,1125,0.0,0.0,1,1,2,1,TA,5,Typ,0,None,Attchd,2007.0,Unf,2.0,430.0,TA,TA,Y,80,64,0,0,0,0,None,None,None,0,4,2007,New,Partial,155000,1,0,1.5,25,9,3,1,0,2250.0,5,11.951180395901384,Medium,0
1563,911370540,120,RM,44.0,3842,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Hip,CompShg,CemntBd,CmentBd,Stone,174.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,221.0,1594.0,GasA,Ex,Y,SBrkr,1646,0,0,1646,1.0,1.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2004.0,Fin,2.0,482.0,TA,TA,Y,128,53,0,0,155,0,None,None,None,0,1,2008,WD ,Normal,275000,1,1,3.5,40,9,4,4,3,3240.0,17,12.524526376648708,High,1
2230,909475070,20,RL,63.0,32668,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,3,1957,1975,Hip,CompShg,Wd Sdng,Stone,None,0.0,Gd,TA,PConc,TA,TA,No,Rec,1219.0,Unf,0.0,816.0,2035.0,GasA,TA,Y,SBrkr,2515,0,0,2515,1.0,0.0,3,0,4,2,TA,9,Maj1,2,TA,Attchd,1975.0,RFn,2.0,484.0,TA,TA,Y,0,0,200,0,0,0,None,None,None,0,3,2007,WD ,Alloca,200624,1,1,4.0,18,9,6,50,32,4550.0,17,12.209187788430318,High,1
1593,923204040,85,RL,150.0,14137,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,4,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,98.0,TA,TA,CBlock,Gd,TA,Av,ALQ,865.0,LwQ,247.0,88.0,1200.0,GasA,Gd,Y,SBrkr,1200,0,0,1200,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,2Types,1964.0,Fin,3.0,850.0,TA,TA,Y,0,119,0,0,171,0,None,None,None,0,11,2008,ConLD,Normal,173000,1,0,2.0,20,9,3,44,44,2400.0,12,12.061046873479915,Medium,0
221,905104210,20,RL,70.0,8521,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,842.0,Unf,0.0,70.0,912.0,GasA,TA,Y,SBrkr,912,0,0,912,0.0,0.0,1,0,3,1,TA,5,Typ,1,Fa,Detchd,1974.0,Unf,1.0,336.0,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2010,WD ,Normal,125000,1,1,1.0,25,9,3,43,43,1824.0,7,11.736069016284437,Low,0
1537,909281110,70,RL,100.0,9670,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,398.0,608.0,GasA,TA,Y,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,0,None,None,None,0,6,2008,WD ,Alloca,257076,1,1,1.5,48,6,3,73,58,2481.0,17,12.45712704000522,High,1
931,909427200,20,RL,80.0,14000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,2004,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1092.0,1092.0,GasA,Ex,Y,SBrkr,1152,0,0,1152,0.0,1.0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1950.0,Unf,1.0,300.0,TA,TA,Y,0,36,0,0,0,0,None,GdPrv,None,0,8,2009,WD ,Family,158500,1,1,1.5,48,9,4,59,5,2244.0,17,11.973509872299472,Medium,0
